,Наименование / ФИО,ИНН,Адрес,Чистая прибыль (2400),Чистая прибыль прошлый год (2400),Налоги (2410),Проценты (2330),Амортизация (расчетная),EBITDA,Статус
0,"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",5038038838,"141207, Московская обл, г Пушкино, ул Чехова, д 12, 901",-20129.0,-20913.0,-191.0,1521.0,0.0,-18799.0,
1,"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",5027006369,"140093, Московская обл, Дзержинский г, Угрешская ул, дом № 30, помещение 700",28998.0,582441.0,-8184.0,705.0,0.0,21519.0,
2,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""777""",1414006922,"678144, Саха /Якутия/ респ, Ленский муниципальный район, городское поселение город Ленск, Мелиораторов ул, дом № 3",54850.0,19889.0,-16937.0,0.0,0.0,37913.0,
3,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОТЕХИМПОРТ""",3327332190,"Владимир г, Александра Матросова ул, 1, 600005",47723.0,40101.0,-13461.0,0.0,0.0,34262.0,
4,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКС""",7816061297,"192102, Город Санкт-Петербург, вн.тер. г. Муниципальный Округ Волковское, ул Фучика, дом 4, литера К, помещение 32 18Н, офис 713",11674.0,565.0,2975.0,0.0,0.0,14649.0,
5,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ГАЗСТРОЙАВТОМАТИКА""",3525048992,"150000, Ярославская обл, г.о. город Ярославль, г Ярославль, ул Республиканская, д. 81, кор. 2, кв. 49, ",29550.0,183854.0,-47407.0,27152.0,0.0,9295.0,
6,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЕКСЕЕВСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №1""",3101000612,"309857, Белгородская обл, р-н Алексеевский, г Алексеевка, ул Пушкина, д. 47",-21506.0,-15367.0,-687.0,0.0,6803.0,-15390.0,
7,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМБЕР-СТРОЙСЕРВИС""",5902126804,"614022, Пермский край, Пермь г, Мира ул, дом 45, корпус а, офис 411",21635.0,305.0,591.0,3017.0,0.0,25243.0,
8,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМИРУС""",523005733,"368780, Дагестан Респ, р-н Магарамкентский, с Магарамкент, ул Гагарина, 3",2028.0,1242.0,-290.0,0.0,0.0,1738.0,
9,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРОВАНА""",5009106346,,,,,,,,Не найден
10,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСЕНАЛ""",7724745755,"127566, Москва г, ш Алтуфьевское, 48, 1, Эт 9 Пом I оф 901",89807.0,28092.0,-22688.0,30226.0,19860.0,117205.0,
11,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСИ""",504007693,"368730, Дагестан Респ, Ахтынский р-н, Ахты с, А.Аливердиева ул, дом № 6",190.0,228.0,-220.0,0.0,2005.0,1975.0,
12,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРХАНГЕЛЬСКГРАЖДАНРЕКОНСТРУКЦИЯ""",2901030646,"163000, Архангельская обл, Архангельск г, Попова ул, дом 17",-10419.0,-46946.0,2990.0,1961.0,1290.0,-4178.0,
13,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАВАРСКИЙ ДОМ""",7709008852,"129075, Москва г, ул Аргуновская, 2, 1, оф 1500",-96249.0,-150389.0,0.0,26904.0,4551.0,-64794.0,
14,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЙКАЛСТРОЙГРАД""",3811167535,"664050, Иркутская обл, Иркутск г, Дыбовского ул, дом № 8/10",12084.0,-104.0,-2013.0,850.0,0.0,10921.0,
15,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКАЯ ИНЖИНИРИНГОВАЯ КОМПАНИЯ""",7810255553,"199178, Санкт-Петербург г, пр-кт Малый В.О., д 48 литера А, к 2, Помещение 12-Н",451984.0,37644.0,-121303.0,0.0,4695.0,335376.0,
